product_id,title,category,description,price,avg_rating,review_count
SKU000050,HP 24mh FHD Monitor,Electronics,23.8-inch IPS display with built-in speakers,159.28,4.7,3344
SKU000051,GoPro HERO9 Black,Electronics,5K waterproof action camera with front display,492.25,4.7,3240
SKU000052,Apple iPad Air (4th Gen),Electronics,10.9-inch Liquid Retina display with A14 Bionic chip,631.96,4.3,5678
SKU000053,AmazonBasics Memory Foam Mattress,Home,8-inch medium-firm memory foam mattress,206.69,4.6,2214
SKU000054,HP 24mh FHD Monitor,Electronics,23.8-inch IPS display with built-in speakers,183.41,4.7,3113
SKU000055,Yeti Rambler 30 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler,35.68,4.9,3462
SKU000056,Weber Spirit II E-310 Grill,Outdoors,3-burner liquid propane gas grill,595.32,4.4,5966
SKU000057,Echo Dot (4th Gen),Electronics,Smart speaker with Alexa | Glacier White,45.88,4.4,68277
SKU000058,Apple MacBook Air M1,Electronics,13.3-inch Retina display with 8-core CPU,938.26,5,7011
SKU000059,OXO Good Grips 12-Inch Tongs,Kitchen,Stainless steel tongs with nylon heads,11.81,4.6,3995
SKU000060,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,28.94,5,1762
SKU000061,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,29.32,4.8,4510
SKU000062,Bose QuietComfort 35 II,Electronics,Wireless noise cancelling headphones,285.33,4.8,10350
SKU000063,Philips Hue White Starter Kit,Electronics,Smart LED bulbs with bridge and dimmer switch,213.14,5,6343
SKU000064,Yeti Hopper M20 Soft Cooler,Outdoors,Portable cooler with 20-can capacity,291.4,4.5,3514
SKU000065,Yeti Rambler 20 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler with MagSlider lid,28.68,4.8,122040
SKU000066,Adidas Unisex-Child Gamecourt Shoes,Clothing,Casual sneakers with cloudfoam cushioning,40.34,4.5,2202
SKU000067,OXO Good Grips 12-Inch Tongs,Kitchen,Stainless steel tongs with nylon heads,12.06,4.5,1860
SKU000068,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,31.8,4.7,2377
SKU000069,Stanley Classic Vacuum Bottle,Kitchen,1.0 QT insulated thermos with leak-proof lid,32.02,4.7,4162
SKU000070,The Lean Startup by Eric Ries,Books,New York Times bestseller about entrepreneurship,16.45,4.5,4686
SKU000071,Apple Watch Series 6,Electronics,"GPS, 44mm Space Gray Aluminum Case with Black Sport Band",452.36,5,82881
SKU000072,Stanley Classic Vacuum Bottle,Kitchen,1.0 QT insulated thermos with leak-proof lid,32.89,4.3,4807
SKU000073,AmazonBasics Security Safe,Home,0.5 cubic foot electronic safe with keys,45.05,4.3,7364
SKU000074,Yeti Rambler 20 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler with MagSlider lid,31.88,4.7,89533
SKU000075,23andMe Health + Ancestry Kit,Health,DNA testing kit with personalized health insights,207.23,4.9,24357
SKU000076,Nespresso Vertuo Next,Kitchen,Coffee and espresso maker with 5 cup sizes,188.23,4.8,5752
SKU000077,Adidas Unisex-Child Gamecourt Shoes,Clothing,Casual sneakers with cloudfoam cushioning,42.17,4.9,3532
SKU000078,PlayStation 5 Digital Edition,Gaming,"Ultra-high speed SSD, 4K UHD Blu-ray drive",365.91,4.5,40236
SKU000079,KitchenAid Artisan Stand Mixer,Kitchen,5-quart tilt-head mixer with 10 speeds,417.82,5,3225
SKU000080,Logitech MX Master 3,Electronics,Wireless mouse with ultra-fast scrolling,92.31,5,7657
SKU000081,The Lean Startup by Eric Ries,Books,New York Times bestseller about entrepreneurship,16.08,4.6,10248
SKU000082,Canon EOS Rebel T7,Electronics,DSLR camera with 18-55mm lens,461.09,4.9,7220
SKU000083,OXO Good Grips 12-Inch Tongs,Kitchen,Stainless steel tongs with nylon heads,12.55,4.4,4432
SKU000084,23andMe Health + Ancestry Kit,Health,DNA testing kit with personalized health insights,181.63,4.9,46316
SKU000085,LEGO Ideas Tree House,Toys,3036-piece building kit with 3 cabins and foliage elements,240.54,5,5515
SKU000086,PlayStation 5 Digital Edition,Gaming,"Ultra-high speed SSD, 4K UHD Blu-ray drive",386.01,4.8,60879
SKU000087,HP 24mh FHD Monitor,Electronics,23.8-inch IPS display with built-in speakers,177.8,4.5,2625
SKU000088,Columbia Men's Newton Ridge Boots,Clothing,Waterproof hiking boots with advanced traction,82.19,5,5076
SKU000089,HP 24mh FHD Monitor,Electronics,23.8-inch IPS display with built-in speakers,183.15,5,4094
SKU000090,Yeti Rambler 20 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler with MagSlider lid,29.82,4.6,96587
SKU000091,AmazonBasics Silicone Baking Mat,Kitchen,Non-stick mat for baking and kneading dough,13.85,4.6,75643
SKU000092,Amazon Smart Plug,Electronics,Wi-Fi enabled plug that works with Alexa,26.06,4.4,7220
SKU000093,Calphalon Premier Space Saving Set,Kitchen,10-piece nonstick cookware set,315.59,4.3,6013
SKU000094,Sony WH-1000XM4 Headphones,Electronics,Wireless noise cancelling over-ear headphones,352.26,4.5,8659
SKU000095,Amazon Smart Plug,Electronics,Wi-Fi enabled plug that works with Alexa,26.34,4.2,8355
SKU000096,AmazonBasics Security Safe,Home,0.5 cubic foot electronic safe with keys,49.93,4.2,6532
SKU000097,AmazonBasics Foldable Dog Crate,Pet,42-inch portable kennel with divider panel,53.23,4.5,2370
SKU000098,Apple Watch Series 6,Electronics,"GPS, 44mm Space Gray Aluminum Case with Black Sport Band",422.78,4.9,77489
SKU000099,23andMe Health + Ancestry Kit,Health,DNA testing kit with personalized health insights,180.11,5,26111
SKU000100,Nintendo Switch with Neon Joy-Con,Gaming,Console with Neon Blue and Neon Red Joy-Con controllers,276.46,4.5,77530
SKU000101,The Lean Startup by Eric Ries,Books,New York Times bestseller about entrepreneurship,13.59,4.9,8656
SKU000102,Canon EOS Rebel T7,Electronics,DSLR camera with 18-55mm lens,462.27,4.5,6258
SKU000103,Amazon Smart Plug,Electronics,Wi-Fi enabled plug that works with Alexa,24.06,4.5,11102
SKU000104,Logitech MX Master 3,Electronics,Wireless mouse with ultra-fast scrolling,100.16,5,5978
SKU000105,Blue Yeti USB Microphone,Electronics,Professional condenser mic with multiple patterns,140.59,4.4,10900
SKU000106,Nintendo Switch with Neon Joy-Con,Gaming,Console with Neon Blue and Neon Red Joy-Con controllers,284.95,4.9,88203
SKU000107,Anker PowerCore 10000,Electronics,Portable charger with PowerIQ technology,25.52,4.6,112009
SKU000108,AmazonBasics Silicone Baking Mat,Kitchen,Non-stick mat for baking and kneading dough,15.76,4.8,31013
SKU000109,Nintendo Switch with Neon Joy-Con,Gaming,Console with Neon Blue and Neon Red Joy-Con controllers,283.72,4.9,66125
SKU000110,Xbox Series S,Gaming,Next-gen console with 512GB SSD,274.61,5,46816
SKU000111,Patagonia Men's Better Sweater,Clothing,Full-zip fleece jacket made from recycled polyester,133.16,4.5,4202
SKU000112,PlayStation 5 Digital Edition,Gaming,"Ultra-high speed SSD, 4K UHD Blu-ray drive",372.89,4.7,35702
SKU000113,Apple MacBook Air M1,Electronics,13.3-inch Retina display with 8-core CPU,1084.85,4.7,5609
SKU000114,Canon EOS Rebel T7,Electronics,DSLR camera with 18-55mm lens,477.72,4.4,4219
SKU000115,Shark Navigator Lift-Away Vacuum,Home,Bagless upright vacuum with HEPA filter,205.33,4.4,4730
SKU000116,Columbia Men's Newton Ridge Boots,Clothing,Waterproof hiking boots with advanced traction,85.93,5,4515
SKU000117,KitchenAid Artisan Stand Mixer,Kitchen,5-quart tilt-head mixer with 10 speeds,456.11,5,5334
SKU000118,Bose QuietComfort 35 II,Electronics,Wireless noise cancelling headphones,280.26,4.6,5327
SKU000119,Yeti Rambler 30 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler,37.74,4.6,4799
SKU000120,Weber Spirit II E-310 Grill,Outdoors,3-burner liquid propane gas grill,553.32,4.9,4240
SKU000121,Columbia Men's Newton Ridge Boots,Clothing,Waterproof hiking boots with advanced traction,84.91,4.5,3840
SKU000122,AmazonBasics Memory Foam Mattress,Home,8-inch medium-firm memory foam mattress,205.04,4.7,4392
SKU000123,Yeti Rambler 30 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler,33.72,4.9,2184
SKU000124,The Lean Startup by Eric Ries,Books,New York Times bestseller about entrepreneurship,13.82,4.1,4449
SKU000125,Anker PowerCore 10000,Electronics,Portable charger with PowerIQ technology,24.58,5,71018
SKU000126,KitchenAid Artisan Stand Mixer,Kitchen,5-quart tilt-head mixer with 10 speeds,423.72,5,2915
SKU000127,Nespresso Vertuo Next,Kitchen,Coffee and espresso maker with 5 cup sizes,191.44,4.5,2627
SKU000128,Weber Spirit II E-310 Grill,Outdoors,3-burner liquid propane gas grill,588.61,4.7,4556
SKU000129,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,27.03,4.9,4187
SKU000130,Sony WH-1000XM4 Headphones,Electronics,Wireless noise cancelling over-ear headphones,348.75,4.9,8205
SKU000131,Yeti Hopper M20 Soft Cooler,Outdoors,Portable cooler with 20-can capacity,295.03,4.9,3255
SKU000132,Echo Dot (4th Gen),Electronics,Smart speaker with Alexa | Glacier White,47.21,5,67955
SKU000133,OXO Good Grips 12-Inch Tongs,Kitchen,Stainless steel tongs with nylon heads,12,4.5,4601
SKU000134,GoPro HERO9 Black,Electronics,5K waterproof action camera with front display,435.38,4.5,4872
SKU000135,Apple iPad Air (4th Gen),Electronics,10.9-inch Liquid Retina display with A14 Bionic chip,652.06,4.4,4493
SKU000136,Amazon Smart Plug,Electronics,Wi-Fi enabled plug that works with Alexa,24.11,4.3,8550
SKU000137,Canon EOS Rebel T7,Electronics,DSLR camera with 18-55mm lens,451.68,4.6,3334
SKU000138,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,31.21,5,2717
SKU000139,Yeti Rambler 30 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler,34.04,4.6,4353
SKU000140,AmazonBasics Silicone Baking Mat,Kitchen,Non-stick mat for baking and kneading dough,16.4,4.8,74649
SKU000141,Stanley Classic Vacuum Bottle,Kitchen,1.0 QT insulated thermos with leak-proof lid,38.24,4.6,3194
SKU000142,Kindle Paperwhite,Books,"Waterproof, 8GB, 6.8\ display",142.51,5,51955
SKU000143,Shark Navigator Lift-Away Vacuum,Home,Bagless upright vacuum with HEPA filter,199.88,5,4799
SKU000144,Blue Yeti USB Microphone,Electronics,Professional condenser mic with multiple patterns,124.81,4.5,5535
SKU000145,HP 24mh FHD Monitor,Electronics,23.8-inch IPS display with built-in speakers,162.68,4.5,2489
SKU000146,All-new Blink Mini,Electronics,Compact indoor plug-in smart security camera,31.75,4.6,48594
SKU000147,Columbia Men's Newton Ridge Boots,Clothing,Waterproof hiking boots with advanced traction,81.74,4.9,5007
SKU000148,Fitbit Charge 4,Electronics,Fitness tracker with built-in GPS,150.03,5,3936
SKU000149,23andMe Health + Ancestry Kit,Health,DNA testing kit with personalized health insights,181.15,4.7,60829
SKU000150,Sony WH-1000XM4 Headphones,Electronics,Wireless noise cancelling over-ear headphones,332.59,4.7,9292
SKU000151,AmazonBasics Memory Foam Mattress,Home,8-inch medium-firm memory foam mattress,205.5,4.7,4787
SKU000152,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,28.43,5,2602
SKU000153,Fire TV Stick 4K,Electronics,4K Ultra HD streaming device with Alexa Voice Remote (includes TV controls),46.44,4.8,130685
SKU000154,Weber Spirit II E-310 Grill,Outdoors,3-burner liquid propane gas grill,547.84,5,7903
SKU000155,AmazonBasics Memory Foam Mattress,Home,8-inch medium-firm memory foam mattress,208.44,4.8,5708
SKU000156,Yeti Hopper M20 Soft Cooler,Outdoors,Portable cooler with 20-can capacity,284.51,5,1612
SKU000157,Bose QuietComfort 35 II,Electronics,Wireless noise cancelling headphones,309.29,5,8698
SKU000158,All-new Blink Mini,Electronics,Compact indoor plug-in smart security camera,36.82,4.5,29938
SKU000159,All-new Blink Mini,Electronics,Compact indoor plug-in smart security camera,33.15,4.2,41153
SKU000160,Columbia Men's Newton Ridge Boots,Clothing,Waterproof hiking boots with advanced traction,83.64,4.7,3039
SKU000161,AmazonBasics Foldable Dog Crate,Pet,42-inch portable kennel with divider panel,51.59,4.9,3547
SKU000162,AmazonBasics Foldable Dog Crate,Pet,42-inch portable kennel with divider panel,54.39,4.3,3813
SKU000163,Weber Spirit II E-310 Grill,Outdoors,3-burner liquid propane gas grill,563.66,4.9,3337
SKU000164,Yeti Rambler 30 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler,35.24,4.7,3819
SKU000165,LEGO Star Wars Millennium Falcon,Toys,"7,541-piece Ultimate Collector Series model",780.34,4.9,3073
SKU000166,Shark Navigator Lift-Away Vacuum,Home,Bagless upright vacuum with HEPA filter,213.4,5,2794
SKU000167,Stanley Classic Vacuum Bottle,Kitchen,1.0 QT insulated thermos with leak-proof lid,33.75,4.7,1996
SKU000168,Shark Navigator Lift-Away Vacuum,Home,Bagless upright vacuum with HEPA filter,187.45,4.6,2954
SKU000169,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,27.24,4.4,4022
SKU000170,23andMe Health + Ancestry Kit,Health,DNA testing kit with personalized health insights,202.62,4.7,24676
SKU000171,Yeti Rambler 18 oz Bottle,Kitchen,Vacuum insulated stainless steel water bottle,31.06,5,1865
SKU000172,AmazonBasics Security Safe,Home,0.5 cubic foot electronic safe with keys,45.16,5,4643
SKU000173,Apple Watch Series 6,Electronics,"GPS, 44mm Space Gray Aluminum Case with Black Sport Band",430.04,4.7,110354
SKU000174,Bose QuietComfort 35 II,Electronics,Wireless noise cancelling headphones,282.64,4.9,8944
SKU000175,HP 24mh FHD Monitor,Electronics,23.8-inch IPS display with built-in speakers,174.93,4.7,3788
SKU000176,Yeti Rambler 30 oz Tumbler,Kitchen,Vacuum insulated stainless steel tumbler,32.71,5,3724
SKU000177,Simple Modern 40oz Tumbler,Kitchen,Vacuum insulated stainless steel water bottle with straw lid,31.14,4.8,8370
SKU000178,Apple AirPods Pro,Electronics,Active Noise Cancelling wireless earbuds,243.36,4.7,65680
SKU000179,Instant Pot DUO80 8 Qt 7-in-1,Kitchen,"7-in-1 pressure cooker, slow cooker, rice cooker, steamer, saut̩, yogurt maker and warmer",108.68,4.9,28890
SKU000180,Bose QuietComfort 35 II,Electronics,Wireless noise cancelling headphones,277.32,4.9,10817
SKU000181,Stanley Classic Vacuum Bottle,Kitchen,1.0 QT insulated thermos with leak-proof lid,33.89,4.5,3576
SKU000182,Echo Dot (4th Gen),Electronics,Smart speaker with Alexa | Glacier White,46.13,4.8,117646
SKU000183,Sony WH-1000XM4 Headphones,Electronics,Wireless noise cancelling over-ear headphones,377.56,5,9368
SKU000184,Anker PowerCore 10000,Electronics,Portable charger with PowerIQ technology,27.95,4.3,61289
SKU000185,Bose QuietComfort 35 II,Electronics,Wireless noise cancelling headphones,284.52,4.8,10734
SKU000186,Apple MacBook Air M1,Electronics,13.3-inch Retina display with 8-core CPU,1030.96,4.7,4964
SKU000187,Kindle Paperwhite,Books,"Waterproof, 8GB, 6.8\ display",159.46,5,44682
SKU000188,Columbia Men's Newton Ridge Boots,Clothing,Waterproof hiking boots with advanced traction,80.87,4.2,3488
SKU000189,OXO Good Grips 12-Inch Tongs,Kitchen,Stainless steel tongs with nylon heads,13.07,4.4,1644
SKU000190,HP 24mh FHD Monitor,Electronics,23.8-inch IPS display with built-in speakers,161.21,4.7,2963
SKU000191,Patagonia Men's Better Sweater,Clothing,Full-zip fleece jacket made from recycled polyester,127.69,5,3435
SKU000192,Instant Pot DUO80 8 Qt 7-in-1,Kitchen,"7-in-1 pressure cooker, slow cooker, rice cooker, steamer, saut̩, yogurt maker and warmer",107.89,4.7,25073
SKU000193,LEGO Star Wars Millennium Falcon,Toys,"7,541-piece Ultimate Collector Series model",918.06,4.7,3462
SKU000194,AmazonBasics Silicone Baking Mat,Kitchen,Non-stick mat for baking and kneading dough,15.39,5,29536
